lemma,freq,freq_class,rank,prop,cum_sum_prop
å flytte,57,5,66,0.002179899036255163,0.6005048187241854
å starte,57,5,66,0.002179899036255163,0.6026847177604405
å åpne,55,5,67,0.0021034113507725255,0.604788129111213
å arbeide,55,5,67,0.0021034113507725255,0.6068915404619857
å miste,55,5,67,0.0021034113507725255,0.6089949518127582
å lære,54,5,68,0.002065167508031207,0.6110601193207894
å lede,54,5,68,0.002065167508031207,0.6131252868288206
å ringe,54,5,68,0.002065167508031207,0.6151904543368518
å slippe,54,5,68,0.002065167508031207,0.617255621844883
å vurdere,54,5,68,0.002065167508031207,0.6193207893529142
å endre,50,5,69,0.0019121921370659324,0.6212329814899801
å melde,50,5,69,0.0019121921370659324,0.623145173627046
å like,49,5,70,0.0018739482943246138,0.6250191219213707
å trekke,49,5,70,0.0018739482943246138,0.6268930702156953
å hevde,47,5,71,0.0017974606088419765,0.6286905308245373
å utvikle,47,5,71,0.0017974606088419765,0.6304879914333792
å dø,46,5,72,0.0017592167661006578,0.6322472081994799
å anbefale,45,5,73,0.0017209729233593392,0.6339681811228393
å forsøke,44,5,74,0.0016827290806180205,0.6356509102034572
å ramme,44,5,74,0.0016827290806180205,0.6373336392840753
å bestemme,43,5,75,0.0016444852378767018,0.638978124521952
å delta,41,5,76,0.0015679975523940645,0.640546122074346
å skulle,41,5,76,0.0015679975523940645,0.6421141196267401
å varsle,41,5,76,0.0015679975523940645,0.64368211717913415
å forklare,40,5,77,0.0015297537096527459,0.645211870888787
å diskutere,39,5,78,0.0014915098669114272,0.6467033807556983
å stemme,39,5,78,0.0014915098669114272,0.6481948906226097
å treffe,39,5,78,0.0014915098669114272,0.6496864004895212
å henge,38,5,79,0.0014532660241701086,0.6511396665136913
å kunne,38,5,79,0.0014532660241701086,0.6525929325378614
å drepe,37,5,80,0.00141502218142879,0.6540079547192902
å erklære,37,5,80,0.00141502218142879,0.6554229769007189
å passe,36,5,81,0.0013767783386874712,0.6567997552394065
å samle,36,5,81,0.0013767783386874712,0.6581765335780939
å tape,36,5,81,0.0013767783386874712,0.6595533119167813
å dele,35,5,82,0.0013385344959461526,0.6608918464127276
å kjempe,35,5,82,0.0013385344959461526,0.6622303809086737
å levere,35,5,82,0.0013385344959461526,0.6635689154046198
å peke,35,5,82,0.0013385344959461526,0.664907449900566
å redusere,35,5,82,0.0013385344959461526,0.6662459843965122
å trene,35,5,82,0.0013385344959461526,0.6675845188924583
å understreke,35,5,82,0.0013385344959461526,0.6689230533884045
å regne,34,5,83,0.001300290653204834,0.6702233440416093
å slutte,34,5,83,0.001300290653204834,0.6715236346948141
å uttale,34,5,83,0.001300290653204834,0.6728239253480189
å koste,33,5,84,0.0012620468104635153,0.6740859721584825
å telle,33,5,84,0.0012620468104635153,0.675348018968946
å bære,32,5,85,0.0012238029677221968,0.6765718219366682
å føde,32,5,85,0.0012238029677221968,0.6777956249043904
å kaste,32,5,85,0.0012238029677221968,0.6790194278721126
å motta,32,5,85,0.0012238029677221968,0.6802432308398348
å samarbeide,32,5,85,0.0012238029677221968,0.681467033807557
å slite,32,5,85,0.0012238029677221968,0.6826908367752792
å utsette,32,5,85,0.0012238029677221968,0.6839146397430014
å knytte,31,6,86,0.0011855591249808782,0.6851001988679822
å skjønne,31,6,86,0.0011855591249808782,0.6862857579929631
å sørge,31,6,86,0.0011855591249808782,0.6874713171179441
å vedta,31,6,86,0.0011855591249808782,0.6886568762429249
å fjerne,30,6,87,0.0011473152822395595,0.6898041915251645
å forsvinne,30,6,87,0.0011473152822395595,0.690951506807404
å fremme,30,6,87,0.0011473152822395595,0.6920988220896436
å frykte,30,6,87,0.0011473152822395595,0.6932461373718831
å redde,30,6,87,0.0011473152822395595,0.6943934526541227
å skille,30,6,87,0.0011473152822395595,0.6955407679363622
å hete,29,6,88,0.0011090714394982409,0.6966498393758604
å nå,29,6,88,0.0011090714394982409,0.6977589108153587
å søke,29,6,88,0.0011090714394982409,0.698867982254857
å styre,29,6,88,0.0011090714394982409,0.6999770536943553
å styrke,29,6,88,0.0011090714394982409,0.7010861251338535
å bekrefte,28,6,89,0.0010708275967569222,0.7021569527306104
å beskrive,28,6,89,0.0010708275967569222,0.7032277803273673
å etablere,28,6,89,0.0010708275967569222,0.7042986079241242
å merke,28,6,89,0.0010708275967569222,0.7053694355208812
å støtte,28,6,89,0.0010708275967569222,0.7064402631176381
å takke,28,6,89,0.0010708275967569222,0.707511090714395
å vokse,28,6,89,0.0010708275967569222,0.7085819183111519
å foreslå,27,6,90,0.0010325837540156035,0.7096145020651675
å glemme,27,6,90,0.0010325837540156035,0.7106470858191831
å innebære,27,6,90,0.0010325837540156035,0.7116796695731987
å reagere,27,6,90,0.0010325837540156035,0.7127122533272143
å skyte,27,6,90,0.0010325837540156035,0.7137448370812299
å stoppe,27,6,90,0.0010325837540156035,0.7147774208352455
å behandle,26,6,91,9.943399112742849e-4,0.7157717607465198
å bryte,26,6,91,9.943399112742849e-4,0.7167661006577941
å elske,26,6,91,9.943399112742849e-4,0.7177604405690684
å ende,26,6,91,9.943399112742849e-4,0.7187547804803427
å fungere,26,6,91,9.943399112742849e-4,0.719749120391617
å hente,26,6,91,9.943399112742849e-4,0.7207434603028913
å lure,26,6,91,9.943399112742849e-4,0.7217378002141656
å nevne,26,6,91,9.943399112742849e-4,0.7227321401254398
å svekke,26,6,91,9.943399112742849e-4,0.7237264800367141
å teste,26,6,91,9.943399112742849e-4,0.7247208199479884
å tjene,26,6,91,9.943399112742849e-4,0.7257151598592627
å fly,25,6,92,9.560960685329662e-4,0.7266712559277956
å forvente,25,6,92,9.560960685329662e-4,0.7276273519963286
å innse,25,6,92,9.560960685329662e-4,0.7285834480648615
å le,25,6,92,9.560960685329662e-4,0.7295395441333945
å satse,25,6,92,9.560960685329662e-4,0.7304956402019275
å videreføre,25,6,92,9.560960685329662e-4,0.7314517362704605
å foregå,24,6,93,9.178522257916476e-4,0.7323695884962521
å dømme,23,6,94,8.796083830503289e-4,0.7332491968793025
å fylle,23,6,94,8.796083830503289e-4,0.7341288052623528
å skaffe,23,6,94,8.796083830503289e-4,0.7350084136454031
å stenge,23,6,94,8.796083830503289e-4,0.7358880220284534
å utgjøre,23,6,94,8.796083830503289e-4,0.7367676304115037
å befinne,22,6,95,8.413645403090103e-4,0.7376089949518128
å danse,22,6,95,8.413645403090103e-4,0.7384503594921218
å forlate,22,6,95,8.413645403090103e-4,0.7392917240324308
å løfte,22,6,95,8.413645403090103e-4,0.74013308857273985
å løpe,22,6,95,8.413645403090103e-4,0.7409744531130488
å påpeke,22,6,95,8.413645403090103e-4,0.7418158176533578
å påvirke,22,6,95,8.413645403090103e-4,0.7426571821936668
å skyldes,22,6,95,8.413645403090103e-4,0.7434985467339759
å avgjøre,21,6,96,8.031206975676916e-4,0.7443016674315436
å basere,21,6,96,8.031206975676916e-4,0.7451047881291112
å beholde,21,6,96,8.031206975676916e-4,0.7459079088266789
å gjennomføre,21,6,96,8.031206975676916e-4,0.7467110295242466
å hindre,21,6,96,8.031206975676916e-4,0.7475141502218143
å innrømme,21,6,96,8.031206975676916e-4,0.7483172709193819
å overta,21,6,96,8.031206975676916e-4,0.7491203916169497
å plassere,21,6,96,8.031206975676916e-4,0.7499235123145174
å prege,21,6,96,8.031206975676916e-4,0.7507266330120851
å rette,21,6,96,8.031206975676916e-4,0.7515297537096528
å tale,21,6,96,8.031206975676916e-4,0.7523328744072204
å tillate,21,6,96,8.031206975676916e-4,0.7531359951047881
å akseptere,20,6,97,7.648768548263729e-4,0.7539008719596145
å avslutte,20,6,97,7.648768548263729e-4,0.7546657488144409
å bytte,20,6,97,7.648768548263729e-4,0.7554306256692672
å dukke,20,6,97,7.648768548263729e-4,0.7561955025240936
å innføre,20,6,97,7.648768548263729e-4,0.75696037937892
å invitere,20,6,97,7.648768548263729e-4,0.7577252562337464
å love,20,6,97,7.648768548263729e-4,0.7584901330885727
å nekte,20,6,97,7.648768548263729e-4,0.7592550099433991
å score,20,6,97,7.648768548263729e-4,0.7600198867982255
å tyde,20,6,97,7.648768548263729e-4,0.7607847636530518
å vekke,20,6,97,7.648768548263729e-4,0.7615496405078782
å benytte,19,6,98,7.266330120850543e-4,0.7622762735199633
å bestå,19,6,98,7.266330120850543e-4,0.7630029065320484
å drikke,19,6,98,7.266330120850543e-4,0.7637295395441334
å fremstå,19,6,98,7.266330120850543e-4,0.7644561725562184
å ivareta,19,6,98,7.266330120850543e-4,0.7651828055683035
å late,19,6,98,7.266330120850543e-4,0.7659094385803885
å lide,19,6,98,7.266330120850543e-4,0.7666360715924736
å lykkes,19,6,98,7.266330120850543e-4,0.7673627046045587
å minne,19,6,98,7.266330120850543e-4,0.7680893376166438
å opplyse,19,6,98,7.266330120850543e-4,0.7688159706287288
å sjekke,19,6,98,7.266330120850543e-4,0.7695426036408138
å skifte,19,6,98,7.266330120850543e-4,0.7702692366528989
å true,19,6,98,7.266330120850543e-4,0.7709958696649839
å anta,18,6,99,6.883891693437356e-4,0.7716842588343277
å blåse,18,6,99,6.883891693437356e-4,0.7723726480036714
å brenne,18,6,99,6.883891693437356e-4,0.7730610371730151
å feire,18,6,99,6.883891693437356e-4,0.7737494263423589
å forholde,18,6,99,6.883891693437356e-4,0.7744378155117027
å forsvare,18,6,99,6.883891693437356e-4,0.7751262046810463
å måtte,18,6,99,6.883891693437356e-4,0.7758145938503901
å oppfordre,18,6,99,6.883891693437356e-4,0.7765029830197339
å overleve,18,6,99,6.883891693437356e-4,0.7771913721890775
å presentere,18,6,99,6.883891693437356e-4,0.7778797613584213
å representere,18,6,99,6.883891693437356e-4,0.7785681505277651
å spise,18,6,99,6.883891693437356e-4,0.7792565396971087
å tilby,18,6,99,6.883891693437356e-4,0.7799449288664525
å utføre,18,6,99,6.883891693437356e-4,0.7806333180357963
å våkne,18,6,99,6.883891693437356e-4,0.7813217072051399
å anse,17,6,100,6.50145326602417e-4,0.7819718525317424
å begå,17,6,100,6.50145326602417e-4,0.7826219978583449
å dekke,17,6,100,6.50145326602417e-4,0.7832721431849472
å forberede,17,6,100,6.50145326602417e-4,0.7839222885115497
å mangle,17,6,100,6.50145326602417e-4,0.7845724338381521
å omtale,17,6,100,6.50145326602417e-4,0.7852225791647545
å oppdage,17,6,100,6.50145326602417e-4,0.7858727244913569
å oppfatte,17,6,100,6.50145326602417e-4,0.7865228698179593
å oppheve,17,6,100,6.50145326602417e-4,0.7871730151445617
å rekke,17,6,100,6.50145326602417e-4,0.7878231604711642
å skjule,17,6,100,6.50145326602417e-4,0.7884733057977665
å snu,17,6,100,6.50145326602417e-4,0.789123451124369
å stjele,17,6,100,6.50145326602417e-4,0.7897735964509714
å tilhøre,17,6,100,6.50145326602417e-4,0.7904237417775738
å tørre,17,6,100,6.50145326602417e-4,0.7910738871041763
å avvise,16,6,101,6.119014838610984e-4,0.7916857885880373
å begrense,16,6,101,6.119014838610984e-4,0.7922976900718984
å dreie,16,6,101,6.119014838610984e-4,0.7929095915557596
å eie,16,6,101,6.119014838610984e-4,0.7935214930396206
å erkjenne,16,6,101,6.119014838610984e-4,0.7941333945234818
å gifte,16,6,101,6.119014838610984e-4,0.7947452960073428
å intervjue,16,6,101,6.119014838610984e-4,0.7953571974912039
å kritisere,16,6,101,6.119014838610984e-4,0.7959690989750651
å lete,16,6,101,6.119014838610984e-4,0.7965810004589261
å planlegge,16,6,101,6.119014838610984e-4,0.7971929019427872
å produsere,16,6,101,6.119014838610984e-4,0.7978048034266483
å stikke,16,6,101,6.119014838610984e-4,0.7984167049105094
å synge,16,6,101,6.119014838610984e-4,0.7990286063943706
å tvinge,16,6,101,6.119014838610984e-4,0.7996405078782316
å uttrykke,16,6,101,6.119014838610984e-4,0.8002524093620927
å bevege,15,7,102,5.736576411197798e-4,0.8008260670032125
å fokusere,15,7,102,5.736576411197798e-4,0.8013997246443323
å havne,15,7,102,5.736576411197798e-4,0.801973382285452
å inngå,15,7,102,5.736576411197798e-4,0.8025470399265718
å lagre,15,7,102,5.736576411197798e-4,0.8031206975676916
å måle,15,7,102,5.736576411197798e-4,0.8036943552088114
å ødelegge,15,7,102,5.736576411197798e-4,0.8042680128499312
å oppfylle,15,7,102,5.736576411197798e-4,0.8048416704910509
å registrere,15,7,102,5.736576411197798e-4,0.8054153281321708
å rope,15,7,102,5.736576411197798e-4,0.8059889857732905
å rydde,15,7,102,5.736576411197798e-4,0.8065626434144103
å sammenligne,15,7,102,5.736576411197798e-4,0.80713630105553
å stige,15,7,102,5.736576411197798e-4,0.8077099586966499
å tegne,15,7,102,5.736576411197798e-4,0.8082836163377696
å vende,15,7,102,5.736576411197798e-4,0.8088572739788894
å berøre,14,7,103,5.354137983784611e-4,0.8093926877772679
å erstatte,14,7,103,5.354137983784611e-4,0.8099281015756463
å fastslå,14,7,103,5.354137983784611e-4,0.8104635153740248
å finansiere,14,7,103,5.354137983784611e-4,0.8109989291724032
å fortjene,14,7,103,5.354137983784611e-4,0.8115343429707818
å forvalte,14,7,103,5.354137983784611e-4,0.8120697567691602
å inneholde,14,7,103,5.354137983784611e-4,0.8126051705675387
å konkludere,14,7,103,5.354137983784611e-4,0.8131405843659171
å medføre,14,7,103,5.354137983784611e-4,0.8136759981642956
å misbruke,14,7,103,5.354137983784611e-4,0.814211411962674
å møtes,14,7,103,5.354137983784611e-4,0.8147468257610525
å nærme,14,7,103,5.354137983784611e-4,0.8152822395594309
å oppnå,14,7,103,5.354137983784611e-4,0.8158176533578094
å opprette,14,7,103,5.354137983784611e-4,0.8163530671561878
å oppstå,14,7,103,5.354137983784611e-4,0.8168884809545663
å publisere,14,7,103,5.354137983784611e-4,0.8174238947529447
å servere,14,7,103,5.354137983784611e-4,0.8179593085513233
å spare,14,7,103,5.354137983784611e-4,0.8184947223497017
å stanse,14,7,103,5.354137983784611e-4,0.8190301361480802
å unngå,14,7,103,5.354137983784611e-4,0.8195655499464586
å bekjempe,13,7,104,4.971699556371424e-4,0.8200627199020958
å beskytte,13,7,104,4.971699556371424e-4,0.8205598898577329
å bringe,13,7,104,4.971699556371424e-4,0.8210570598133701
å by,13,7,104,4.971699556371424e-4,0.8215542297690072
å fatte,13,7,104,4.971699556371424e-4,0.8220513997246444
å forandre,13,7,104,4.971699556371424e-4,0.8225485696802814
å forbli,13,7,104,4.971699556371424e-4,0.8230457396359186
å glede,13,7,104,4.971699556371424e-4,0.8235429095915557
å gråte,13,7,104,4.971699556371424e-4,0.8240400795471929
å gripe,13,7,104,4.971699556371424e-4,0.82453724950283
å høres,13,7,104,4.971699556371424e-4,0.8250344194584672
å kåre,13,7,104,4.971699556371424e-4,0.8255315894141043
å løse,13,7,104,4.971699556371424e-4,0.8260287593697415
å organisere,13,7,104,4.971699556371424e-4,0.8265259293253786
å overføre,13,7,104,4.971699556371424e-4,0.8270230992810158
å pågripe,13,7,104,4.971699556371424e-4,0.8275202692366529
å plukke,13,7,104,4.971699556371424e-4,0.8280174391922901
å prioritere,13,7,104,4.971699556371424e-4,0.8285146091479272
å trykke,13,7,104,4.971699556371424e-4,0.8290117791035644
å variere,13,7,104,4.971699556371424e-4,0.8295089490592015
å besøke,12,7,105,4.589261128958238e-4,0.8299678751720972
å definere,12,7,105,4.589261128958238e-4,0.8304268012849931
å dubbe,12,7,105,4.589261128958238e-4,0.8308857273978889
å formidle,12,7,105,4.589261128958238e-4,0.8313446535107848
å forsterke,12,7,105,4.589261128958238e-4,0.8318035796236806
å lytte,12,7,105,4.589261128958238e-4,0.8322625057365765
å makte,12,7,105,4.589261128958238e-4,0.8327214318494722
å skyve,12,7,105,4.589261128958238e-4,0.8331803579623681
å utfordre,12,7,105,4.589261128958238e-4,0.8336392840752639
å utnevne,12,7,105,4.589261128958238e-4,0.8340982101881597
å vare,12,7,105,4.589261128958238e-4,0.8345571363010555
å advare,11,7,106,4.206822701545051e-4,0.83497781857121
å ane,11,7,106,4.206822701545051e-4,0.8353985008413646
å bedre,11,7,106,4.206822701545051e-4,0.835819183111519
å drømme,11,7,106,4.206822701545051e-4,0.8362398653816736
å føles,11,7,106,4.206822701545051e-4,0.8366605476518281
å foreta,11,7,106,4.206822701545051e-4,0.8370812299219825
å forhindre,11,7,106,4.206822701545051e-4,0.8375019121921371
å forutsette,11,7,106,4.206822701545051e-4,0.8379225944622916
å gjennomgå,11,7,106,4.206822701545051e-4,0.8383432767324461
å gjenta,11,7,106,4.206822701545051e-4,0.8387639590026006
å hilse,11,7,106,4.206822701545051e-4,0.839184641272755
å investere,11,7,106,4.206822701545051e-4,0.8396053235429096
å knuse,11,7,106,4.206822701545051e-4,0.8400260058130641
å kommentere,11,7,106,4.206822701545051e-4,0.8404466880832187
å mobilisere,11,7,106,4.206822701545051e-4,0.8408673703533731
å nedlegge,11,7,106,4.206822701545051e-4,0.8412880526235276
å omkomme,11,7,106,4.206822701545051e-4,0.8417087348936821
å operere,11,7,106,4.206822701545051e-4,0.8421294171638366
å overvåke,11,7,106,4.206822701545051e-4,0.8425500994339912
å pågå,11,7,106,4.206822701545051e-4,0.8429707817041456
å prate,11,7,106,4.206822701545051e-4,0.8433914639743001
å presse,11,7,106,4.206822701545051e-4,0.8438121462444547
å rapportere,11,7,106,4.206822701545051e-4,0.8442328285146091
å sammenlikne,11,7,106,4.206822701545051e-4,0.8446535107847637
å skade,11,7,106,4.206822701545051e-4,0.8450741930549182
å skjerpe,11,7,106,4.206822701545051e-4,0.8454948753250727
å spre,11,7,106,4.206822701545051e-4,0.8459155575952272
å strømme,11,7,106,4.206822701545051e-4,0.8463362398653816
å studere,11,7,106,4.206822701545051e-4,0.8467569221355362
å svikte,11,7,106,4.206822701545051e-4,0.8471776044056907
å tilpasse,11,7,106,4.206822701545051e-4,0.8475982866758452
å argumentere,10,7,107,3.8243842741318647e-4,0.8479807251032584
å avsløre,10,7,107,3.8243842741318647e-4,0.8483631635306715
å beskatte,10,7,107,3.8243842741318647e-4,0.8487456019580848
å bry,10,7,107,3.8243842741318647e-4,0.8491280403854979
å fange,10,7,107,3.8243842741318647e-4,0.8495104788129111
å foreligge,10,7,107,3.8243842741318647e-4,0.8498929172403243
å foretrekke,10,7,107,3.8243842741318647e-4,0.8502753556677375
å importere,10,7,107,3.8243842741318647e-4,0.8506577940951506
å inkludere,10,7,107,3.8243842741318647e-4,0.8510402325225639
å innlede,10,7,107,3.8243842741318647e-4,0.851422670949977
å kontakte,10,7,107,3.8243842741318647e-4,0.8518051093773903
å lukke,10,7,107,3.8243842741318647e-4,0.8521875478048034
å omfatte,10,7,107,3.8243842741318647e-4,0.8525699862322166
å oppsøke,10,7,107,3.8243842741318647e-4,0.8529524246596298
å orke,10,7,107,3.8243842741318647e-4,0.853334863087043
å risikere,10,7,107,3.8243842741318647e-4,0.8537173015144561
å seile,10,7,107,3.8243842741318647e-4,0.8540997399418694
å smile,10,7,107,3.8243842741318647e-4,0.8544821783692825
å sparke,10,7,107,3.8243842741318647e-4,0.8548646167966958
å tildele,10,7,107,3.8243842741318647e-4,0.8552470552241089
å utarbeide,10,7,107,3.8243842741318647e-4,0.8556294936515221
å angripe,9,7,108,3.441945846718678e-4,0.855973688236194
å arrangere,9,7,108,3.441945846718678e-4,0.85631788282086585
å avdekke,9,7,108,3.441945846718678e-4,0.8566620774055377
å avklare,9,7,108,3.441945846718678e-4,0.8570062719902096
