lemma,freq,freq_class,rank,prop,cum_sum_prop
fremre,35,5,66,0.0016522683283765284,0.5217863381013077
såkalt,35,5,66,0.0016522683283765284,0.5234386064296842
død,34,5,67,0.0016050606618514846,0.5250436670915357
avgjørende,33,5,68,0.001557852995326441,0.5266015200868621
generell,33,5,68,0.001557852995326441,0.5281593730821885
interessant,33,5,68,0.001557852995326441,0.529717226077515
aktiv,32,5,69,0.0015106453288013973,0.5312278714063163
direkte,32,5,69,0.0015106453288013973,0.5327385167351177
enorm,32,5,69,0.0015106453288013973,0.5342491620639191
fornøyd,32,5,69,0.0015106453288013973,0.5357598073927206
lik,32,5,69,0.0015106453288013973,0.537270452721522
sosial,32,5,69,0.0015106453288013973,0.5387810980503234
viss,32,5,69,0.0015106453288013973,0.5402917433791248
endelig,31,5,70,0.0014634376622763537,0.5417551810414011
forskjellig,31,5,70,0.0014634376622763537,0.5432186187036775
voksen,31,5,70,0.0014634376622763537,0.5446820563659538
frivillig,30,5,71,0.00141622999575131,0.5460982863617051
kristen,30,5,71,0.00141622999575131,0.5475145163574564
rød,30,5,71,0.00141622999575131,0.5489307463532077
svensk,30,5,71,0.00141622999575131,0.550346976348959
tilgjengelig,30,5,71,0.00141622999575131,0.5517632063447104
negativ,29,5,72,0.0013690223292262664,0.5531322286739366
svart,29,5,72,0.0013690223292262664,0.5545012510031629
tung,29,5,72,0.0013690223292262664,0.5558702733323891
dyp,28,5,73,0.0013218146627012226,0.5571920879950903
etisk,28,5,73,0.0013218146627012226,0.5585139026577917
felles,28,5,73,0.0013218146627012226,0.5598357173204929
ferdig,28,5,73,0.0013218146627012226,0.5611575319831941
fort,28,5,73,0.0013218146627012226,0.5624793466458953
kritisk,28,5,73,0.0013218146627012226,0.5638011613085965
nordisk,28,5,73,0.0013218146627012226,0.5651229759712977
ytterligere,28,5,73,0.0013218146627012226,0.566444790633999
flott,27,5,74,0.001274606996176179,0.5677193976301751
global,27,5,74,0.001274606996176179,0.5689940046263513
halv,27,5,74,0.001274606996176179,0.5702686116225275
øvrig,27,5,74,0.001274606996176179,0.5715432186187037
religiøs,27,5,74,0.001274606996176179,0.5728178256148798
ren,27,5,74,0.001274606996176179,0.574092432611056
trygg,27,5,74,0.001274606996176179,0.5753670396072322
22.,26,5,75,0.0012273993296511353,0.5765944389368833
begrenset,26,5,75,0.0012273993296511353,0.5778218382665344
demokratisk,26,5,75,0.0012273993296511353,0.5790492375961857
ekstra,26,5,75,0.0012273993296511353,0.5802766369258368
grunnleggende,26,5,75,0.0012273993296511353,0.5815040362554879
moderne,26,5,75,0.0012273993296511353,0.5827314355851391
omfattende,26,5,75,0.0012273993296511353,0.5839588349147902
rar,26,5,75,0.0012273993296511353,0.5851862342444413
total,26,5,75,0.0012273993296511353,0.5864136335740924
tradisjonell,26,5,75,0.0012273993296511353,0.5876410329037436
annerledes,25,5,76,0.0011801916631260917,0.5888212245668697
kraftig,25,5,76,0.0011801916631260917,0.5900014162299958
militær,25,5,76,0.0011801916631260917,0.5911816078931218
relativ,25,5,76,0.0011801916631260917,0.5923617995562479
sein,25,5,76,0.0011801916631260917,0.593541991219374
selvstendig,25,5,76,0.0011801916631260917,0.5947221828825001
streng,25,5,76,0.0011801916631260917,0.5959023745456262
utrolig,25,5,76,0.0011801916631260917,0.5970825662087523
vestlig,25,5,76,0.0011801916631260917,0.5982627578718784
feil,24,5,77,0.001132983996601048,0.5993957418684794
hvit,24,5,77,0.001132983996601048,0.6005287258650804
stolt,24,5,77,0.001132983996601048,0.6016617098616815
tredje,24,5,77,0.001132983996601048,0.6027946938582825
ytre,24,5,77,0.001132983996601048,0.6039276778548837
grei,23,5,78,0.0010857763300760044,0.6050134541849597
konkret,23,5,78,0.0010857763300760044,0.6060992305150357
populær,23,5,78,0.0010857763300760044,0.6071850068451117
avhengig,22,5,79,0.0010385686635509606,0.6082235755086626
fantastisk,22,5,79,0.0010385686635509606,0.6092621441722136
følgende,22,5,79,0.0010385686635509606,0.6103007128357645
fysisk,22,5,79,0.0010385686635509606,0.6113392814993155
gal,22,5,79,0.0010385686635509606,0.6123778501628665
historisk,22,5,79,0.0010385686635509606,0.6134164188264174
normal,22,5,79,0.0010385686635509606,0.6144549874899684
prostituert,22,5,79,0.0010385686635509606,0.6154935561535193
knapp,21,5,80,9.91360997025917e-4,0.6164849171505452
nasjonal,21,5,80,9.91360997025917e-4,0.6174762781475711
psykisk,21,5,80,9.91360997025917e-4,0.6184676391445971
samle,21,5,80,9.91360997025917e-4,0.619459000141623
uavhengig,21,5,80,9.91360997025917e-4,0.6204503611386489
vakker,21,5,80,9.91360997025917e-4,0.6214417221356748
vesentlig,21,5,80,9.91360997025917e-4,0.6224330831327007
absolutt,20,5,81,9.441533305008733e-4,0.6233772364632016
dum,20,5,81,9.441533305008733e-4,0.6243213897937024
plutselig,20,5,81,9.441533305008733e-4,0.6252655431242033
sitte,20,5,81,9.441533305008733e-4,0.6262096964547043
smittefarlig,20,5,81,9.441533305008733e-4,0.6271538497852052
daglig,19,5,82,8.969456639758296e-4,0.628050795449181
engelsk,19,5,82,8.969456639758296e-4,0.6289477411131568
fornybar,19,5,82,8.969456639758296e-4,0.6298446867771326
forurense,19,5,82,8.969456639758296e-4,0.6307416324411085
fransk,19,5,82,8.969456639758296e-4,0.6316385781050843
grønn,19,5,82,8.969456639758296e-4,0.6325355237690601
ille,19,5,82,8.969456639758296e-4,0.6334324694330359
kjedelig,19,5,82,8.969456639758296e-4,0.6343294150970118
knytte,19,5,82,8.969456639758296e-4,0.6352263607609876
objektiv,19,5,82,8.969456639758296e-4,0.6361233064249634
selvfølgelig,19,5,82,8.969456639758296e-4,0.6370202520889392
stå,19,5,82,8.969456639758296e-4,0.6379171977529151
tilsvare,19,5,82,8.969456639758296e-4,0.6388141434168909
tysk,19,5,82,8.969456639758296e-4,0.6397110890808667
umulig,19,5,82,8.969456639758296e-4,0.6406080347448425
alternativ,18,6,83,8.49737997450786e-4,0.6414577727422933
foreløpig,18,6,83,8.49737997450786e-4,0.6423075107397441
mørk,18,6,83,8.49737997450786e-4,0.6431572487371949
øvre,18,6,83,8.49737997450786e-4,0.6440069867346457
svak,18,6,83,8.49737997450786e-4,0.6448567247320965
trist,18,6,83,8.49737997450786e-4,0.6457064627295472
automatisk,17,6,84,8.025303309257423e-4,0.646508993060473
bekymre,17,6,84,8.025303309257423e-4,0.6473115233913987
biologisk,17,6,84,8.025303309257423e-4,0.6481140537223244
fremtidig,17,6,84,8.025303309257423e-4,0.6489165840532503
imponere,17,6,84,8.025303309257423e-4,0.649719114384176
juridisk,17,6,84,8.025303309257423e-4,0.6505216447151018
kald,17,6,84,8.025303309257423e-4,0.6513241750460275
løs,17,6,84,8.025303309257423e-4,0.6521267053769532
menneskelig,17,6,84,8.025303309257423e-4,0.652929235707879
nyttig,17,6,84,8.025303309257423e-4,0.6537317660388047
overraske,17,6,84,8.025303309257423e-4,0.6545342963697305
reell,17,6,84,8.025303309257423e-4,0.6553368267006562
seksuell,17,6,84,8.025303309257423e-4,0.6561393570315819
sivil,17,6,84,8.025303309257423e-4,0.6569418873625077
sjelden,17,6,84,8.025303309257423e-4,0.6577444176934334
villig,17,6,84,8.025303309257423e-4,0.6585469480243592
dyr,16,6,85,7.553226644006986e-4,0.6593022706887598
ekstrem,16,6,85,7.553226644006986e-4,0.6600575933531605
jevn,16,6,85,7.553226644006986e-4,0.6608129160175612
klassisk,16,6,85,7.553226644006986e-4,0.6615682386819619
kollektiv,16,6,85,7.553226644006986e-4,0.6623235613463626
korrekt,16,6,85,7.553226644006986e-4,0.6630788840107633
mild,16,6,85,7.553226644006986e-4,0.663834206675164
morsom,16,6,85,7.553226644006986e-4,0.6645895293395647
rolig,16,6,85,7.553226644006986e-4,0.6653448520039654
sann,16,6,85,7.553226644006986e-4,0.6661001746683661
tøff,16,6,85,7.553226644006986e-4,0.6668554973327668
